constraint_name,constraint_type,definition
conversions_ledger_type_check,c,"CHECK ((ledger_type = ANY (ARRAY['sale'::text, 'refund'::text, 'chargeback'::text, 'chargeback_fee'::text, 'processor_fee'::text, 'bank_fee'::text, 'shipping_cost'::text, 'tax'::text, 'cogs'::text, 'affiliate_payout'::text, 'ad_spend'::text, 'reversal'::text, 'adjustment'::text])))"
conversions_pkey,p,PRIMARY KEY (id)
